,state,timezone
0,Alabama,Central Time Zone
1,Alaska,Alaska Time Zone
2,Arizona,Mountain Time Zone
3,Arkansas,Central Time Zone
4,California,Pacific Time Zone
5,Colorado,Mountain Time Zone
6,Connecticut,Eastern Time Zone
7,Delaware,Eastern Time Zone
8,Florida,Eastern Time Zone
9,Georgia,Eastern Time Zone
10,Hawaii,Hawaii-Aleutian Time Zone
11,Idaho,Mountain Time Zone
12,Illinois,Central Time Zone
13,Indiana,Eastern Time Zone
14,Iowa,Central Time Zone
15,Kansas,Central Time Zone
16,Kentucky,Eastern Time Zone
17,Louisiana,Central Time Zone
18,Maine,Eastern Time Zone
19,Maryland,Eastern Time Zone
20,Massachusetts,Eastern Time Zone
21,Michigan,Eastern Time Zone
22,Minnesota,Central Time Zone
23,Mississippi,Central Time Zone
24,Missouri,Central Time Zone
25,Montana,Mountain Time Zone
26,Nebraska,Central Time Zone
27,Nevada,Pacific Time Zone
28,New Hampshire,Eastern Time Zone
29,New Jersey,Eastern Time Zone
30,New Mexico,Mountain Time Zone
31,New York,Eastern Time Zone
32,North Carolina,Eastern Time Zone
33,North Dakota,Central Time Zone
34,Ohio,Eastern Time Zone
35,Oklahoma,Central Time Zone
36,Oregon,Pacific Time Zone
37,Pennsylvania,Eastern Time Zone
38,Rhode Island,Eastern Time Zone
39,South Carolina,Eastern Time Zone
40,South Dakota,Central Time Zone
41,Tennessee,Eastern Time Zone
42,Texas,Central Time Zone
43,Utah,Mountain Time Zone
44,Vermont,Eastern Time Zone
45,Virginia,Eastern Time Zone
46,Washington,Pacific Time Zone
47,West Virginia,Eastern Time Zone
48,Wisconsin,Central Time Zone
49,Wyoming,Mountain Time Zone
